class,filename,mean_g,var_r
beach,beach_001.jpg,114.9044647,3334.652888
beach,beach_002.jpg,98.34918213,2512.237152
beach,beach_003.jpg,115.2145386,3365.320174
beach,beach_004.jpg,156.7730713,2939.02532
beach,beach_005.jpg,92.39964294,917.1949354
beach,beach_006.jpg,178.3270874,1940.264069
beach,beach_007.jpg,132.2601624,1488.189879
beach,beach_008.jpg,95.52110291,1696.69915
beach,beach_009.jpg,123.5363464,1720.402071
beach,beach_010.jpg,164.1938477,3023.618164
beach,beach_011.jpg,122.2023926,3017.034432
beach,beach_012.jpg,135.8167725,2475.191834
beach,beach_013.jpg,94.54716492,2449.396225
beach,beach_014.jpg,117.2998505,2379.271401
beach,beach_015.jpg,156.3072662,1711.272055
beach,beach_016.jpg,146.0738983,1547.464978
beach,beach_017.jpg,114.3978119,2598.050312
beach,beach_018.jpg,88.1781311,2991.524226
beach,beach_019.jpg,50.83117676,601.0291734
beach,beach_020.jpg,148.1735992,1913.855215
beach,beach_021.jpg,120.6314545,437.3271316
beach,beach_022.jpg,115.2691193,2957.205125
beach,beach_023.jpg,125.5840149,3264.261995
beach,beach_024.jpg,101.0010986,2238.947168
beach,beach_025.jpg,111.3020172,3341.686684
beach,beach_026.jpg,175.9264069,1842.668034
beach,beach_027.jpg,129.266449,2230.536341
beach,beach_028.jpg,150.1742096,3727.714554
beach,beach_029.jpg,59.31547546,733.3313773
beach,beach_030.jpg,102.2382965,4332.697542
beach,beach_031.jpg,89.30262756,3036.496864
beach,beach_032.jpg,86.0632782,3789.453271
beach,beach_033.jpg,130.0890656,1961.098237
beach,beach_034.jpg,123.2695465,3670.304171
beach,beach_035.jpg,91.0184021,4906.206
beach,beach_036.jpg,125.084259,5934.936472
beach,beach_037.jpg,142.594635,3460.595742
beach,beach_038.jpg,79.13580322,2295.987703
beach,beach_039.jpg,148.6112976,1829.795442
beach,beach_040.jpg,101.1420746,1611.011471
beach,beach_041.jpg,107.0577698,703.5068064
beach,beach_042.jpg,146.030304,3003.932825
beach,beach_043.jpg,129.0243225,6793.443807
beach,beach_044.jpg,77.96565247,1519.911504
beach,beach_045.jpg,100.7877197,981.2772091
beach,beach_046.jpg,91.96914673,3896.65538
beach,beach_047.jpg,123.1809845,3242.542967
beach,beach_048.jpg,87.84687805,2535.593949
beach,beach_049.jpg,158.1821442,1378.541182
beach,beach_050.jpg,127.8340454,2317.006825
beach,beach_051.jpg,130.2778473,4301.153037
beach,beach_052.jpg,136.8727112,1594.13783
beach,beach_053.jpg,120.3567505,2998.256718
beach,beach_054.jpg,114.2733459,1665.815049
beach,beach_055.jpg,130.244339,586.6416165
beach,beach_056.jpg,74.52204895,2822.950202
beach,beach_057.jpg,97.22000122,1791.007481
beach,beach_058.jpg,123.7398529,555.4568734
beach,beach_059.jpg,111.5923004,3846.743574
beach,beach_060.jpg,90.95846558,503.5235842
beach,beach_061.jpg,128.9768219,2617.849494
beach,beach_062.jpg,111.0666656,3001.001439
beach,beach_063.jpg,154.0254364,1829.297755
beach,beach_064.jpg,123.4533844,3502.406032
beach,beach_065.jpg,112.0581818,4658.747669
beach,beach_066.jpg,141.3329468,2919.553592
beach,beach_067.jpg,143.4355927,3112.701165
beach,beach_068.jpg,125.0977478,3315.711731
beach,beach_069.jpg,94.39100647,1348.943472
beach,beach_070.jpg,161.4121552,1853.650346
beach,beach_071.jpg,139.7017822,4018.518373
beach,beach_072.jpg,133.7093048,2355.790092
beach,beach_073.jpg,124.5012817,5922.33859
beach,beach_074.jpg,143.6215057,1869.341449
beach,beach_075.jpg,128.1543121,3147.588006
beach,beach_076.jpg,111.712677,615.2743252
beach,beach_077.jpg,141.3669891,6708.853297
beach,beach_078.jpg,117.3378143,1611.129091
beach,beach_079.jpg,172.7999573,3428.564074
beach,beach_080.jpg,127.5946045,5130.817175
beach,beach_081.jpg,108.068924,3877.180082
beach,beach_082.jpg,84.48994446,2118.343724
beach,beach_083.jpg,105.9257202,1520.400552
beach,beach_084.jpg,80.49806213,3091.307937
beach,beach_085.jpg,83.3134613,904.2660713
beach,beach_086.jpg,125.9554291,3400.280535
beach,beach_087.jpg,135.9869232,990.6834064
beach,beach_088.jpg,137.1983795,6478.345341
beach,beach_089.jpg,122.8436432,1604.058187
beach,beach_090.jpg,161.2115784,1972.037109
beach,beach_091.jpg,103.5468292,624.2445129
beach,beach_092.jpg,144.9750214,2315.308241
beach,beach_093.jpg,89.06414795,2465.983736
beach,beach_094.jpg,103.6796112,2673.993649
beach,beach_095.jpg,71.53256226,1093.417829
beach,beach_096.jpg,143.0545044,3415.425052
beach,beach_097.jpg,190.5738068,2383.50768
beach,beach_098.jpg,113.6255646,4929.689086
beach,beach_099.jpg,70.13865662,1021.172155
beach,beach_100.jpg,85.13381958,1716.97147
beach,beach_101.jpg,105.7526245,2305.145982
beach,beach_102.jpg,150.0233459,3108.609307
beach,beach_103.jpg,113.2176361,2325.522274
beach,beach_104.jpg,125.381958,3506.374211
beach,beach_105.jpg,101.4926453,3175.788423
beach,beach_106.jpg,161.0639648,3962.374942
beach,beach_107.jpg,80.05560303,880.4448607
beach,beach_108.jpg,130.3199615,1265.094326
beach,beach_109.jpg,134.1463013,3141.831322
beach,beach_110.jpg,135.6568298,2115.784868
beach,beach_111.jpg,111.6004028,1715.88428
beach,beach_112.jpg,111.4865723,1032.791707
beach,beach_113.jpg,154.1403809,3446.347524
beach,beach_114.jpg,88.4135437,622.9637298
beach,beach_115.jpg,144.6533661,1698.396202
beach,beach_116.jpg,128.8335571,4112.141835
beach,beach_117.jpg,106.7856598,474.7614283
beach,beach_118.jpg,100.3644867,7476.793569
beach,beach_119.jpg,75.57286072,2547.072324
beach,beach_120.jpg,110.1282654,823.4037641
beach,beach_121.jpg,98.13313293,2770.49729
beach,beach_122.jpg,142.461731,1368.266121
beach,beach_123.jpg,91.73907471,822.6367336
beach,beach_124.jpg,97.09916687,2156.714549
beach,beach_125.jpg,172.6015015,1478.790254
beach,beach_126.jpg,122.4054718,1853.018935
beach,beach_127.jpg,118.1294403,882.9446071
beach,beach_128.jpg,119.4887848,841.2161132
beach,beach_129.jpg,110.9387817,832.4175877
beach,beach_130.jpg,96.43579102,812.2318457
beach,beach_131.jpg,108.3896942,801.8185015
beach,beach_132.jpg,138.059967,2428.747188
beach,beach_133.jpg,172.5597992,2810.346812
beach,beach_134.jpg,145.7267151,1791.492599
beach,beach_135.jpg,150.2005463,2645.853376
beach,beach_136.jpg,141.7014465,3315.967194
beach,beach_137.jpg,147.1151886,1930.784941
beach,beach_138.jpg,102.2073364,3568.279227
beach,beach_139.jpg,181.7810669,4472.009194
beach,beach_140.jpg,94.73225403,2654.982749
beach,beach_141.jpg,157.9937897,1645.354533
beach,beach_142.jpg,124.9284515,4728.783844
beach,beach_143.jpg,102.3451996,2887.481078
beach,beach_144.jpg,142.6866455,2175.462228
beach,beach_145.jpg,119.1823273,3028.439834
beach,beach_146.jpg,138.0421753,2367.9896
beach,beach_147.jpg,89.53538513,2189.515179
beach,beach_148.jpg,105.4139709,2766.460449
beach,beach_149.jpg,87.42160034,1631.915193
beach,beach_150.jpg,83.47120667,2003.296532
beach,beach_151.jpg,63.61231995,1377.063951
beach,beach_152.jpg,95.82208252,1996.47728
beach,beach_153.jpg,147.8981781,3024.966445
beach,beach_154.jpg,137.4586487,4336.545899
beach,beach_155.jpg,166.8343658,2223.166445
beach,beach_156.jpg,125.6411591,920.1270385
beach,beach_157.jpg,138.5192719,1292.841237
beach,beach_158.jpg,126.2409363,1248.733854
beach,beach_159.jpg,136.4941559,3396.928316
beach,beach_160.jpg,93.462677,1087.194553
beach,beach_161.jpg,114.8640137,3349.40981
beach,beach_162.jpg,113.3750153,1970.621752
beach,beach_163.jpg,59.33229065,1212.942361
beach,beach_164.jpg,152.1463165,1664.632688
beach,beach_165.jpg,131.4216003,1863.547066
beach,beach_166.jpg,150.0257721,2892.537485
beach,beach_167.jpg,168.5336914,2835.309033
beach,beach_168.jpg,144.9786072,5365.18053
beach,beach_169.jpg,61.98474121,1534.33609
beach,beach_170.jpg,88.10975647,2683.352014
beach,beach_171.jpg,50.43522644,310.1652577
beach,beach_172.jpg,164.405777,3204.341937
beach,beach_173.jpg,145.7118378,1573.071322
beach,beach_174.jpg,132.2050476,3670.133631
beach,beach_175.jpg,145.5953827,1481.293965
beach,beach_176.jpg,124.9374084,3981.850094
beach,beach_177.jpg,147.7751007,1707.948634
beach,beach_178.jpg,114.78685,3254.539767
beach,beach_179.jpg,111.4776001,2589.759335
beach,beach_180.jpg,65.98312378,1815.283154
beach,beach_181.jpg,101.5299072,3100.684466
beach,beach_182.jpg,122.8358002,4467.967204
beach,beach_183.jpg,103.5448303,1228.706112
beach,beach_184.jpg,114.2251434,2486.372711
beach,beach_185.jpg,123.9635468,461.1779458
beach,beach_186.jpg,201.7371216,1158.579172
beach,beach_187.jpg,169.4983826,3690.236158
beach,beach_188.jpg,89.72984314,3470.898817
beach,beach_189.jpg,134.5142975,2204.391029
beach,beach_190.jpg,148.5653992,4794.560449
beach,beach_191.jpg,164.3955994,5740.818146
beach,beach_192.jpg,178.0923615,1618.534119
beach,beach_193.jpg,71.15286255,1036.869389
beach,beach_194.jpg,116.586792,4679.667173
beach,beach_195.jpg,92.84165955,4047.942397
beach,beach_196.jpg,99.92015076,1949.258186
beach,beach_197.jpg,82.56059265,1609.475381
beach,beach_198.jpg,96.96664429,1779.822603
beach,beach_199.jpg,87.68333435,2124.910112
beach,beach_200.jpg,156.6147308,2051.764041
beach,beach_201.jpg,129.4325867,4055.592794
beach,beach_202.jpg,130.6008148,1983.50218
beach,beach_203.jpg,103.2432556,2044.274664
beach,beach_204.jpg,118.616684,3159.589156
beach,beach_205.jpg,92.59481812,893.3073544
beach,beach_206.jpg,147.2595062,1764.503638
beach,beach_207.jpg,126.9363861,3508.328516
beach,beach_208.jpg,127.1186829,1668.164278
beach,beach_209.jpg,91.77770996,2433.969872
beach,beach_210.jpg,78.06230164,2163.897874
beach,beach_211.jpg,152.9925385,2379.621909
beach,beach_212.jpg,182.4208069,3379.178012
beach,beach_213.jpg,123.1564941,2032.498465
beach,beach_214.jpg,84.8543396,1953.855462
beach,beach_215.jpg,88.96018982,2751.087644
beach,beach_216.jpg,138.4687805,1710.984107
beach,beach_217.jpg,167.3628845,3706.272986
beach,beach_218.jpg,128.2435303,1117.164358
beach,beach_219.jpg,136.1594696,3381.785831
beach,beach_220.jpg,131.2600555,2140.525738
beach,beach_221.jpg,109.9726715,2260.020982
beach,beach_222.jpg,122.2936554,820.1488295
beach,beach_223.jpg,156.3644714,3394.180696
beach,beach_224.jpg,150.8165894,3119.105423
beach,beach_225.jpg,80.71363831,947.5188293
beach,beach_226.jpg,123.8059692,7001.894912
beach,beach_227.jpg,106.2257843,1400.837912
beach,beach_228.jpg,100.4650726,882.1087406
beach,beach_229.jpg,89.59284973,2706.061561
beach,beach_230.jpg,121.0328217,1909.88225
beach,beach_231.jpg,119.3577881,1114.561327
beach,beach_232.jpg,131.6962738,2368.748123
beach,beach_233.jpg,196.1382446,3150.462211
beach,beach_234.jpg,112.2917633,2450.680504
beach,beach_235.jpg,145.4602203,1266.512056
beach,beach_236.jpg,132.6193695,7704.878223
beach,beach_237.jpg,128.2465515,2520.143077
beach,beach_238.jpg,128.4450226,4505.0323
beach,beach_239.jpg,119.6964569,2784.065733
beach,beach_240.jpg,108.6262054,4757.276415
beach,beach_241.jpg,138.1341095,1707.746763
beach,beach_242.jpg,98.25408936,901.9561018
beach,beach_243.jpg,96.90219116,3187.615008
beach,beach_244.jpg,111.7892303,2971.86248
beach,beach_245.jpg,112.4049225,840.8385589
beach,beach_246.jpg,180.7599487,4317.699905
beach,beach_247.jpg,127.8025513,2432.989386
beach,beach_248.jpg,180.6868591,4145.176413
beach,beach_249.jpg,96.94924927,2836.214647
beach,beach_250.jpg,82.10946655,1756.160271
beach,beach_251.jpg,149.2240143,3426.660714
beach,beach_252.jpg,79.59765625,1677.891584
beach,beach_253.jpg,114.7177124,3825.385797
beach,beach_254.jpg,118.9195099,3033.477344
beach,beach_255.jpg,61.76235962,2732.786209
beach,beach_256.jpg,152.3869171,2421.45666
beach,beach_257.jpg,83.39399719,3139.127409
beach,beach_258.jpg,99.27903748,3617.98698
beach,beach_259.jpg,161.5305939,1723.858071
beach,beach_260.jpg,124.7197723,1713.377939
beach,beach_261.jpg,128.2341309,2760.664181
beach,beach_262.jpg,100.6665497,2895.093902
beach,beach_263.jpg,188.2365265,2904.307946
beach,beach_264.jpg,89.22845459,2661.96332
beach,beach_265.jpg,135.0322418,2235.342244
beach,beach_266.jpg,104.694519,4932.718472
