class,filename,mean_r,mean_g,mean_b,var_r,var_g,var_b,std_r,std_g,std_b,ratio_rg,ratio_gb,ratio_rb
beach,beach_001.jpg,108.790283203125,114.90446472167969,111.2838134765625,3334.652887761593,3117.616040857276,3174.905930623412,57.746453464793774,55.83561623961247,56.346303611003734,0.9467889171995746,1.0325351981267945,0.9775929672836712
beach,beach_002.jpg,91.63372802734375,98.34918212890625,81.35540771484375,2512.2371522150934,2025.4471026025712,1414.8590064011514,50.12222213963676,45.00496753251324,37.6146116077403,0.9317181569446901,1.2088830085493112,1.1263383632117308
beach,beach_003.jpg,101.96684265136719,115.21453857421875,116.52546691894531,3365.3201743939426,2683.294061090797,2171.4220198930707,58.01137969738302,51.80052182257238,46.598519503231756,0.8850170739130425,0.9887497706133531,0.8750605047709433
beach,beach_004.jpg,158.56378173828125,156.7730712890625,134.1687774658203,2939.025320317596,1768.7226427644491,1526.8816856758203,54.212778201431405,42.05618435812323,39.0753334685172,1.0114222443961345,1.1684764709452313,1.1818231701518178
beach,beach_005.jpg,62.13433837890625,92.39964294433594,88.73898315429688,917.1949353776872,739.4919426215347,678.9651648839936,30.2852263550677,27.193601133750835,26.05696000848897,0.6724520752944566,1.041251874287936,0.7001920595478112
beach,beach_006.jpg,188.06832885742188,178.32708740234375,149.51004028320312,1940.2640689602122,1065.0168846808374,885.1229765852913,44.04842867753868,32.63459643814885,29.751016395835812,1.0546256379259056,1.1927431437856864,1.2578975694355086
beach,beach_007.jpg,135.62718200683594,132.26016235351562,116.16227722167969,1488.1898794246372,1170.0507847880945,1053.1901730613317,38.57706416284989,34.20600509834632,32.452891597842736,1.0254574721430174,1.1385809070814468,1.1675663870840471
beach,beach_008.jpg,81.01893615722656,95.52110290527344,90.74969482421875,1696.6991500889417,1024.5695619916078,1027.0001524947584,41.191008121784805,32.008898168971825,32.046843097171966,0.8481783104597156,1.05257756033804,0.8927735502188069
beach,beach_009.jpg,107.1644287109375,123.53634643554688,127.02992248535156,1720.402070865035,963.0281894346699,724.8245898743626,41.47772981812089,31.032695490960336,26.92256655436778,0.8674727975067714,0.9724979303582048,0.8436155685062271
beach,beach_010.jpg,175.22142028808594,164.19384765625,129.9264373779297,3023.6181636077818,2249.2578332424164,1320.7464043365326,54.98743641603763,47.42634113277575,36.3420748490855,1.067161846303184,1.263744610661472,1.3486201141050393
beach,beach_011.jpg,126.72026062011719,122.202392578125,94.83901977539062,3017.0344320365693,1485.0431131720543,747.6415353184566,54.9275380117894,38.53625712458404,27.3430344936047,1.036970288199562,1.288524280220281,1.3361615035521934
beach,beach_012.jpg,128.7917938232422,135.8167724609375,114.15618896484375,2475.19183390378,1476.088223323226,1066.8304023705423,49.75129982124869,38.41989358812991,32.66236982171597,0.9482759898268406,1.1897450483855412,1.1282067464676684
beach,beach_013.jpg,81.63705444335938,94.54716491699219,91.58148193359375,2449.3962246244773,2509.525302326074,2519.8380262218416,49.49137525493182,50.0951624643146,50.19798826867309,0.8634531334757779,1.0323828856768227,0.891414331866911
beach,beach_014.jpg,90.60076904296875,117.29985046386719,107.90316772460938,2379.2714007757604,1227.4965612569358,697.769523656927,48.777775684995724,35.03564700782527,26.415327438003246,0.7723859916344676,1.087084300364536,0.8396487569087181
beach,beach_015.jpg,132.78077697753906,156.30726623535156,143.4836883544922,1711.2720554021653,1266.9658444186207,1404.4667749458458,41.36752416331155,35.59446367651324,37.476216123640945,0.8494855785063473,1.0893729951759212,0.9254067082205367
beach,beach_016.jpg,132.4029541015625,146.0738983154297,121.82839965820312,1547.4649778455496,981.9862840340938,983.7346829613671,39.337831382087515,31.33666038419049,31.36454499847506,0.9064107042008738,1.199013421625126,1.0867986742421318
beach,beach_017.jpg,101.411376953125,114.39781188964844,101.76113891601562,2598.050312459469,2244.516931857681,2436.8292979216203,50.97107329122537,47.376333035152484,49.36425121402755,0.8864799633243843,1.1241796413291476,0.9965628143292752
beach,beach_018.jpg,78.50595092773438,88.17813110351562,87.79499816894531,2991.5242260610685,2655.414497337304,2363.3494384826627,54.694828147285264,51.53071411631421,48.614292532985225,0.8903107952295489,1.00436383505806,0.8941960660982472
beach,beach_019.jpg,36.78373718261719,50.8311767578125,60.87986755371094,601.0291733869817,675.2428305000067,650.7678710517939,24.5158963406803,25.9854349684589,25.51015231337896,0.7236450598305912,0.834942164805883,0.6042018916704446
