class,filename,mean_r,mean_g,mean_b,var_r,var_g,var_b,brightness,contrast,entropy,edge_ratio
beach,beach_001.jpg,108.790283203125,114.90446472167969,111.2838134765625,3334.652887761593,3117.616040857276,3174.905930623412,0.4444868713498583,0.22002996254657936,7.385181652477866,0.2733128702474877
beach,beach_002.jpg,91.63372802734375,98.34918212890625,81.35540771484375,2512.2371522150934,2025.4471026025712,1414.8590064011514,0.37528194900811884,0.1777293995539404,7.19368527969899,0.3297409845346696
beach,beach_003.jpg,101.96684265136719,115.21453857421875,116.52546691894531,3365.3201743939426,2683.294061090797,2171.4220198930707,0.44115263185987286,0.20614870202592722,6.899652640404898,0.15101706164740109
beach,beach_004.jpg,158.56378173828125,156.7730712890625,134.1687774658203,2939.025320317596,1768.7226427644491,1526.8816856758203,0.609897363430846,0.17313356729993393,7.103651419382597,0.2369721783496686
beach,beach_005.jpg,62.13433837890625,92.39964294433594,88.73898315429688,917.1949353776872,739.4919426215347,678.9651648839936,0.33609542020909927,0.10767486223504827,6.302260928565141,0.16981733588860537
beach,beach_006.jpg,188.06832885742188,178.32708740234375,149.51004028320312,1940.2640689602122,1065.0168846808374,885.1229765852913,0.6992917337814032,0.13457713439440983,5.474323922648064,0.08182808989321777
beach,beach_007.jpg,135.62718200683594,132.26016235351562,116.16227722167969,1488.1898794246372,1170.0507847880945,1053.1901730613317,0.5169215549483954,0.13621070942941904,6.76766831733179,0.24333218806096604
beach,beach_008.jpg,81.01893615722656,95.52110290527344,90.74969482421875,1696.6991500889417,1024.5695619916078,1027.0001524947584,0.36115832921046837,0.13199922141951553,6.446288252640894,0.14845463829958386
beach,beach_009.jpg,107.1644287109375,123.53634643554688,127.02992248535156,1720.402070865035,963.0281894346699,724.8245898743626,0.471800787263758,0.128176487749219,6.554210190516207,0.11856658983242885
beach,beach_010.jpg,175.22142028808594,164.19384765625,129.9264373779297,3023.6181636077818,2249.2578332424164,1320.7464043365326,0.6433981433703853,0.18872094759141916,6.608832755071985,0.1400741820623558
beach,beach_011.jpg,126.72026062011719,122.202392578125,94.83901977539062,3017.0344320365693,1485.0431131720543,747.6415353184566,0.4752530994430242,0.16085377761605812,6.582243520514812,0.14813568472090458
beach,beach_012.jpg,128.7917938232422,135.8167724609375,114.15618896484375,2475.19183390378,1476.088223323226,1066.8304023705423,0.5206362212955251,0.15629567060543673,7.288795358625327,0.2501541548857707
beach,beach_013.jpg,81.63705444335938,94.54716491699219,91.58148193359375,2449.3962246244773,2509.525302326074,2519.8380262218416,0.35917623803232235,0.19472091522257506,7.010313338868215,0.24476194132291268
beach,beach_014.jpg,90.60076904296875,117.29985046386719,107.90316772460938,2379.2714007757604,1227.4965612569358,697.769523656927,0.43509331308402266,0.14463255854203122,7.046556633977407,0.3112550678204883
beach,beach_015.jpg,132.78077697753906,156.30726623535156,143.4836883544922,1711.2720554021653,1266.9658444186207,1404.4667749458458,0.5897384600112017,0.14462685081691587,6.701021533894851,0.20937839900250726
beach,beach_016.jpg,132.4029541015625,146.0738983154297,121.82839965820312,1547.4649778455496,981.9862840340938,983.7346829613671,0.5545910675168505,0.12715408013970575,6.774198909478513,0.2977150416483265
beach,beach_017.jpg,101.411376953125,114.39781188964844,101.76113891601562,2598.050312459469,2244.516931857681,2436.8292979216203,0.4342238837028952,0.18779865755768815,7.2366275674218645,0.4309037716895622
beach,beach_018.jpg,78.50595092773438,88.17813110351562,87.79499816894531,2991.5242260610685,2655.414497337304,2363.3494384826627,0.3376281134571748,0.20376198930168035,7.174554709264232,0.315103667703697
beach,beach_019.jpg,36.78373718261719,50.8311767578125,60.87986755371094,601.0291733869817,675.2428305000067,650.7678710517939,0.1904729664881089,0.10010036221811627,5.446650779683652,0.130377736042285
