class,filename,hsv_h_mean,green_mean,lbp_energy,hog_mean,glcm_contrast,edge_density,entropy,blue_green_ratio,lightness_mean,sift_keypoints
beach,beach_001.jpg,0.37278649258265495,0.45061076070867134,41702770,0.14838971869581072,251.40895669291336,0.90777587890625,7.545930221344948,0.9684682475406746,46.982033704419365,97
beach,beach_002.jpg,0.272808285711855,0.3856809550465118,41216812,0.14632949625380923,277.1461614173229,0.9403076171875,7.262248964607392,0.8271871657299199,40.10450571942877,184
beach,beach_003.jpg,0.4383621576883058,0.4518241631822983,29892632,0.1426902335209755,154.9891732283465,0.6617431640625,7.3347129172191465,1.0113569041547061,46.78939207836319,132
beach,beach_004.jpg,0.19544657495726314,0.6147922257354259,37138700,0.14840487659555748,223.62063238188978,0.88873291015625,7.501687337127491,0.855800322323726,63.89582518000821,126
beach,beach_005.jpg,0.4682772466904356,0.36235151788677167,40008364,0.15394408589426797,76.88047490157479,0.87255859375,6.381931546180331,0.9603556494144945,36.69757494672537,54
beach,beach_006.jpg,0.15003437213092682,0.6993250370089368,29554126,0.14160433184140384,35.479146161417326,0.48382568359375,6.368491492533879,0.8383922199533833,72.66147627577001,14
beach,beach_007.jpg,0.1668969220240446,0.518672898958092,45627204,0.13961858610116612,216.5145792322835,0.86126708984375,6.796721991414623,0.8782690927620941,54.86645812382946,85
beach,beach_008.jpg,0.38493147894699026,0.37459422927740926,35027318,0.14495890669193268,151.58618356299212,0.64984130859375,6.591313519273633,0.9500228086414421,38.9763903280983,105
beach,beach_009.jpg,0.45392243556720957,0.4844561932980647,27232764,0.13945775888474257,66.90889517716535,0.7174072265625,7.1008299439995275,1.0282585506761555,50.47836964527417,109
beach,beach_010.jpg,0.16416407210269215,0.6438949440916442,29633562,0.13978252212993444,82.88502706692915,0.699462890625,6.784876703562761,0.7912862488653866,66.99185298964812,69
beach,beach_011.jpg,0.2165838621859657,0.47922220349870814,33248630,0.1414596114680436,109.46216781496065,0.75372314453125,7.039764567785375,0.7760652396448319,50.65513181686314,91
beach,beach_012.jpg,0.25245216494948236,0.5326153574105741,39908814,0.14758509477575368,155.54478346456702,0.93646240234375,7.55194542528414,0.8404996724758911,55.23013389616927,71
beach,beach_013.jpg,0.41923161716052215,0.37078139433257645,32389402,0.1454960227146952,218.1397022637796,0.78936767578125,7.264926917969138,0.9686082293321211,38.30015393440889,138
beach,beach_014.jpg,0.4050631027403348,0.46000401017475984,49359292,0.1421504427481783,139.1390871062992,0.94183349609375,7.564394317852192,0.9198728448350738,46.944061166826,129
beach,beach_015.jpg,0.39869523870533335,0.6129668325850168,42912714,0.14998121463314376,96.69906496062993,0.8804931640625,7.333167519046049,0.9179437624454299,62.13649404788366,63
beach,beach_016.jpg,0.2912075186605402,0.5728342995952653,47607926,0.15217927154784827,268.0191929133858,0.90655517578125,6.965012440814099,0.8340028066979615,58.791743190127306,78
beach,beach_017.jpg,0.3550628777879238,0.44861953804512655,48623020,0.15736540523240414,350.67698080708664,0.97052001953125,7.199705119061987,0.8895175457021277,46.3793416129099,158
beach,beach_018.jpg,0.45890466020498333,0.34579002064752207,45811876,0.15586036769246783,244.36767962598424,0.9373779296875,7.208860797436632,0.9956274824596301,35.76843411575321,152
beach,beach_019.jpg,0.5610036768802716,0.1993395724686468,29552062,0.1419276608336319,102.11878690944883,0.5126953125,5.752714377800951,1.197624208331327,20.078001528583528,63
beach,beach_020.jpg,0.2280039432601762,0.5810725894406068,30622422,0.1398500028593555,158.43054872047247,0.85076904296875,7.604906455704057,0.861358898240087,60.96516782005153,76
