class,filename,hsv_h_mean,lightness_mean,blue_green_ratio,green_mean,glcm_contrast,hog_mean,cluster
beach,beach_001.jpg,0.3727864925826549,46.982033704419365,0.9684682475406746,0.4506107607086713,251.40895669291336,0.1483897186958107,5
beach,beach_002.jpg,0.272808285711855,40.10450571942877,0.8271871657299199,0.3856809550465118,277.1461614173229,0.1463294962538092,4
beach,beach_003.jpg,0.4383621576883058,46.78939207836319,1.011356904154706,0.4518241631822983,154.9891732283465,0.1426902335209755,5
beach,beach_004.jpg,0.1954465749572631,63.89582518000821,0.855800322323726,0.6147922257354259,223.62063238188972,0.1484048765955574,2
beach,beach_005.jpg,0.4682772466904356,36.69757494672537,0.9603556494144944,0.3623515178867716,76.88047490157479,0.1539440858942679,5
beach,beach_006.jpg,0.1500343721309268,72.66147627577001,0.8383922199533833,0.6993250370089368,35.479146161417326,0.1416043318414038,2
beach,beach_007.jpg,0.1668969220240446,54.86645812382946,0.8782690927620941,0.518672898958092,216.5145792322835,0.1396185861011661,2
beach,beach_008.jpg,0.3849314789469902,38.9763903280983,0.950022808641442,0.3745942292774092,151.58618356299212,0.1449589066919326,5
beach,beach_009.jpg,0.4539224355672095,50.47836964527417,1.0282585506761557,0.4844561932980647,66.90889517716535,0.1394577588847425,5
beach,beach_010.jpg,0.1641640721026921,66.99185298964812,0.7912862488653866,0.6438949440916442,82.88502706692915,0.1397825221299344,2
beach,beach_011.jpg,0.2165838621859657,50.65513181686314,0.7760652396448319,0.4792222034987081,109.46216781496064,0.1414596114680436,2
beach,beach_012.jpg,0.2524521649494823,55.23013389616927,0.8404996724758911,0.5326153574105741,155.54478346456702,0.1475850947757536,2
beach,beach_013.jpg,0.4192316171605221,38.30015393440889,0.9686082293321212,0.3707813943325764,218.1397022637796,0.1454960227146952,5
beach,beach_014.jpg,0.4050631027403348,46.944061166826,0.9198728448350738,0.4600040101747598,139.1390871062992,0.1421504427481783,5
beach,beach_015.jpg,0.3986952387053333,62.13649404788366,0.91794376244543,0.6129668325850168,96.69906496062993,0.1499812146331437,5
beach,beach_016.jpg,0.2912075186605402,58.791743190127306,0.8340028066979615,0.5728342995952653,268.0191929133858,0.1521792715478482,2
beach,beach_017.jpg,0.3550628777879238,46.3793416129099,0.8895175457021277,0.4486195380451265,350.67698080708664,0.1573654052324041,4
beach,beach_018.jpg,0.4589046602049833,35.76843411575321,0.99562748245963,0.345790020647522,244.36767962598424,0.1558603676924678,5
beach,beach_019.jpg,0.5610036768802716,20.078001528583528,1.197624208331327,0.1993395724686468,102.11878690944884,0.1419276608336319,5
beach,beach_020.jpg,0.2280039432601762,60.96516782005153,0.861358898240087,0.5810725894406068,158.43054872047247,0.1398500028593555,2
beach,beach_021.jpg,0.4964645392053916,48.10598873740497,1.019813607663063,0.4730618812091491,50.509165846456696,0.1507994215788148,5
beach,beach_022.jpg,0.2850282908590029,46.98339620519549,0.8688048166307263,0.4520344579202295,246.92365895669292,0.1440626921773828,2
beach,beach_023.jpg,0.4126785755276528,50.496364988577376,1.0471114340257068,0.4924921470431823,109.16178641732284,0.1463751697984355,5
beach,beach_024.jpg,0.4118039985410288,40.488294691439904,0.9501282048560092,0.3960844680555526,187.56625246062995,0.1505696162544088,5
beach,beach_025.jpg,0.4050178951387235,44.97085792327495,0.9304714690877796,0.4364845812187972,181.4054502952756,0.1498576766298387,5
beach,beach_026.jpg,0.3881034739038446,70.28096132492072,0.9686568005684184,0.6899215801388252,171.3784448818898,0.1486766610787438,5
beach,beach_027.jpg,0.2754622024864175,52.49428861930162,0.7824374352103065,0.5069311401817004,169.51058070866142,0.1531137184749158,2
beach,beach_028.jpg,0.2520300961283916,61.22630909548772,0.8759818424989008,0.5889255623929989,197.91289370078732,0.1465811091136394,2
beach,beach_029.jpg,0.4126981171715646,24.1721835835479,0.9731702315137888,0.2326062894593171,85.54466043307089,0.1482392958607876,5
beach,beach_030.jpg,0.3522849460542305,41.24486115328112,0.9024485363630232,0.4009351027760252,227.4916338582677,0.1371410329313828,5
beach,beach_031.jpg,0.4015641728486979,36.25772663576077,1.0557803944271014,0.3501999735746427,220.4195374015748,0.1499563984157332,5
beach,beach_032.jpg,0.294993511514632,35.08027254949364,0.7290186417544103,0.3375058286311169,112.7874630905512,0.1455522748339482,4
beach,beach_033.jpg,0.4286169722019886,53.11745711511594,1.0201245900064808,0.5101518257107127,55.94998769685039,0.1481584109320786,5
beach,beach_034.jpg,0.2186650688121151,51.82798287560592,0.8852875200482343,0.4834199784618923,20.95521653543308,0.1386485606508179,2
beach,beach_035.jpg,0.3255628971639282,36.9212156002733,0.845498288799207,0.3569378924193386,217.31231545275588,0.1480695502931411,4
beach,beach_036.jpg,0.3661436354756878,50.301002112656825,0.8999656422842616,0.4905296180667281,147.50978100393706,0.1459928837114466,5
beach,beach_037.jpg,0.2323516166813647,58.10199495820827,0.84628061273918,0.5591950383158104,101.4964320866142,0.1454612459291523,2
beach,beach_038.jpg,0.5544723253516171,32.50382225115368,1.1852554040088208,0.3103422915909841,63.84584153543307,0.1372873730658296,5
beach,beach_039.jpg,0.118166195893162,62.02986660156904,0.7954152692429234,0.5827912452259527,282.9945250984252,0.1469490680313392,2
beach,beach_040.jpg,0.4607538861642523,41.88965751213454,1.0789230948630677,0.3966333555287235,144.49464812992125,0.1569923635458451,5
